image_id,mean_dice,seed_sd,foreground_fraction,lesion_size_group,method
cju8chxndsre008015uisl4si,0.9280461668968201,0.03647497690617845,0.036076986076986076,small,siglip2_frozen
cju13hp5rnbjx0835bf0jowgx,0.8389115333557129,0.03572888381003509,0.10654228810531606,medium,siglip2_partial
cju15l5ubz9yh0855b3ivdpse,0.6836825013160706,0.03560512306199745,0.03482544929940249,small,siglip2_frozen
cju87li0zn3yb0817kbwgjiz8,0.3362830777963002,0.03511781022968082,0.6329367752776038,large,resunet_paper
cju336l68y7if0993wf092166,0.905593752861023,0.034951477810200825,0.22595876889219715,large,siglip2_partial
cjyzkpsbjdsjq07211dfi4sru,0.9052120447158813,0.03436676811926774,0.024580439814814815,small,siglip2_frozen
cjyzjzssvd8pq0838f4nolj5l,0.799362301826477,0.0342680200591818,0.034235146604938274,small,siglip2_partial
cju3381d8bz3h07991xtl7ra0,0.934657613436381,0.034252708731403375,0.050110897333119554,small,resunet_paper
ck2bxw18mmz1k0725litqq2mc,0.5510093569755554,0.03421102576042003,0.30569444444444444,large,resunet_paper
cju0u82z3cuma0835wlxrnrjv,0.8896766106287638,0.03410805908489189,0.24693091785743543,large,resunet_paper
cju7dz5yy2i7z0801ausi7rna,0.9112405578295389,0.03409961873665065,0.028819579112600052,small,resunet_paper
cju32zhbnc1oy0801iyv1ix6p,0.7664389212926229,0.03375168607805094,0.25251754561253714,large,siglip2_frozen
cju87nkyrnb970801q84m47yt,0.9243406454722086,0.03346668206718927,0.09164942178940962,medium,siglip2_partial
cju32qr9tbvsj08013pkpjenq,0.7366698980331421,0.03316984714028995,0.06668453497721791,small,siglip2_partial
cju16fpvhzypl0799p9phnlx6,0.9255406856536865,0.03247698082146029,0.10568584769862725,medium,siglip2_partial
cju87xn2snfmv0987sc3d9xnq,0.8507087628046671,0.032151412053180006,0.16491940522304135,medium,resunet_paper
cju8chxndsre008015uisl4si,0.9203623533248901,0.031837636617880305,0.036076986076986076,small,siglip2_partial
cju7dqcwi2dz00850gcmr2ert,0.9321770270665487,0.03130769049206047,0.054525358082432036,small,siglip2_partial
cjyzuio1qgh040763k56deohv,0.8841763138771057,0.030852080857206088,0.012497588734567902,small,siglip2_partial
cju7ecl9i2i060987xawjp4l0,0.916297992070516,0.030362328599883467,0.23556549699426813,large,siglip2_partial
cjyzkmjy8evns070165gf9dmq,0.8802976012229919,0.030359153207280255,0.09722222222222222,medium,siglip2_partial
cju87li0zn3yb0817kbwgjiz8,0.8752011855443319,0.029839107088240804,0.6329367752776038,large,siglip2_frozen
cju87nkyrnb970801q84m47yt,0.9349455038706461,0.028816508592767427,0.09164942178940962,medium,siglip2_frozen
ck2bxskgxxzfv08386xkqtqdy,0.8898664712905884,0.028569223519644523,0.07093049508143848,small,siglip2_partial
cju13cgqmnhwn0988yrainhcp,0.9547883669535319,0.02848325601857972,0.12427880958232396,medium,siglip2_partial
cjyzul1qggwwj07216mhiv5sy,0.9009150266647339,0.028330414804518214,0.045657454912935325,small,resunet_paper
cju87vqa0ndwg0850onjdz7ol,0.8098634282747904,0.028246698854781347,0.6733168182435184,large,siglip2_frozen
cju33w4sdcivk0855x879zht7,0.9476041197776794,0.028135142502189823,0.07566837235073288,small,siglip2_partial
cjyzk8qieoboa0848ogj51wwm,0.8600011467933655,0.027904287948558888,0.4736376350308642,large,siglip2_frozen
cju8dqkrqu83i0818ev74qpxq,0.8736085693041483,0.027827091380056436,0.5962082975124102,large,resunet_paper
cju8chdlqsu620755azjty1tj,0.9401894211769104,0.027546093289558003,0.10541163623126858,medium,siglip2_partial
cju8dqkrqu83i0818ev74qpxq,0.9533273379007975,0.027487253688718957,0.5962082975124102,large,siglip2_partial
cju33w4sdcivk0855x879zht7,0.9638291597366333,0.027418189817291418,0.07566837235073288,small,resunet_paper
cjyzjzssvd8pq0838f4nolj5l,0.8107699354489645,0.026802531681238334,0.034235146604938274,small,resunet_paper
cju8cwy02t9eq08185qn12c02,0.8830161293347677,0.026302767559188377,0.12937544900736517,medium,siglip2_frozen
cju85nr8elly209872w9n5m0s,0.7528674403826395,0.02601310384646184,0.060998662916685875,small,resunet_paper
ck2bxw18mmz1k0725litqq2mc,0.26709927121798194,0.02595890055520759,0.30569444444444444,large,siglip2_frozen
cju7dubap2g0w0801fgl42mg9,0.6633793115615845,0.025830714106064554,0.25321331290432414,large,resunet_paper
cju87vqa0ndwg0850onjdz7ol,0.8664703766504923,0.02573018796818488,0.6733168182435184,large,siglip2_partial
cju85qefyln6v0850szeb9byi,0.9566381573677063,0.02515882790052582,0.38419062779822905,large,siglip2_partial
cju16b6ynq8e40988m8vx0xnj,0.9193303386370341,0.02496999515579976,0.018431748339556554,small,siglip2_partial
