image_id,dice_a,iou_a,precision_a,recall_a,specificity_a,tp_a,fp_a,fn_a,tn_a,dice_b,iou_b,precision_b,recall_b,specificity_b,tp_b,fp_b,fn_b,tn_b,dice_difference_b_minus_a
cju32upim1z7u0988l883nqp6,0.9539088010787964,0.9118791818618774,0.923218071460724,0.986710250377655,0.9872503876686096,13587.0,1130.0,183.0,87500.0,0.910281538963318,0.835336446762085,0.8393306136131287,0.9943355321884156,0.970427632331848,13692.0,2621.0,78.0,86009.0,-0.043627262115478405
cju7dtb1e2j0t0818deq51ib3,0.958396852016449,0.9201170802116394,0.9866734743118286,0.931695818901062,0.9975777864456176,15400.0,208.0,1129.0,85663.0,0.921647608280182,0.8546813130378723,0.9951595664024352,0.8582491278648376,0.999196469783783,14186.0,69.0,2343.0,85802.0,-0.03674924373626698
cju15wdt3zla10801odjiw7sy,0.9745938777923584,0.9504467248916626,0.9845938086509703,0.9647950530052184,0.9970458149909972,16169.0,253.0,590.0,85388.0,0.9392491579055786,0.8854568600654602,0.8973425626754761,0.9852616786956788,0.9779428243637084,16512.0,1889.0,247.0,83752.0,-0.035344719886779785
cju33mirdc8mj0799k33wzoes,0.973037600517273,0.9474909901618958,0.9643884897232056,0.9818432331085204,0.9925761222839355,17088.0,631.0,316.0,84365.0,0.9380340576171876,0.8832995891571045,0.9015046954154968,0.9776487946510316,0.9781283736228944,17015.0,1859.0,389.0,83137.0,-0.03500354290008534
cju0ue769mxii08019zqgdbxn,0.9561122059822084,0.91591477394104,0.9354901909828186,0.9776639342308044,0.996626317501068,4771.0,329.0,109.0,97191.0,0.9261320233345032,0.8624262809753418,0.8706709742546082,0.9891393184661864,0.992647647857666,4827.0,717.0,53.0,96803.0,-0.02998018264770519
cju8chdlqsu620755azjty1tj,0.9364892840385436,0.8805639743804932,0.9942768216133118,0.8850499987602234,0.9993996024131776,9555.0,55.0,1241.0,91549.0,0.9095830321311952,0.8341606855392456,0.901026964187622,0.9183030724525452,0.9881118535995485,9914.0,1089.0,882.0,90515.0,-0.02690625190734841
cjyzk8qieoboa0848ogj51wwm,0.8746866583824158,0.77728271484375,0.994796872138977,0.7804556488990784,0.996326208114624,37856.0,198.0,10649.0,53697.0,0.8487552404403687,0.737250030040741,0.9823272824287416,0.7471600770950317,0.9879024028778076,36241.0,652.0,12264.0,53243.0,-0.02593141794204712
cju7dvl5m2n4t0755hlnnjjet,0.9567092061042786,0.917011022567749,0.977247714996338,0.9370161890983582,0.9993772506713868,2663.0,62.0,179.0,99496.0,0.9338110089302064,0.8758400082588196,0.906291365623474,0.9630541801452636,0.9971574544906616,2737.0,283.0,105.0,99275.0,-0.022898197174072155
cju8ceacrsqkr0755hdz145es,0.9776017665863036,0.9561849236488342,0.9712318778038024,0.9840558171272278,0.9988108277320862,3950.0,117.0,64.0,98269.0,0.9552420377731324,0.9143189787864684,0.9332224130630492,0.9783258438110352,0.9971439242362976,3927.0,281.0,87.0,98105.0,-0.022359728813171165
cju160wshltz10993i1gmqxbe,0.9089037775993348,0.8330188393592834,0.847951352596283,0.9792975783348083,0.9952354431152344,2649.0,475.0,56.0,99220.0,0.8872427940368652,0.7973372936248779,0.7997032403945923,0.996303141117096,0.993229329586029,2695.0,675.0,10.0,99020.0,-0.021660983562469593
